Generator Name,Location Bus,Number of Units,Connected to Grid,Apparent Power Rating (MVA),Fix Cost ($),Start up Cost ($),Shut down Cost ($),Variable Cost ($/MW),Maximum Real Power (MW),Minimum Real Power (MW),Maximum Reactive Power (MVar),Minimum Reactive Power (MVar),Ramp Up Rate (MW/h),Ramp Down Rate (MW/h),MUT (hour),MDT (hour),Generation Type,Generation Tech,Plot Color,Resource Collector Rating (MW),Maximum Energy Storage Capacity (MWh),Minimum Energy Storage Limit (MWh),Strorage Efficiency (%),,,,
Uranquinty Power Station,N_2914,4,1,184.4444444,269.086758,269.086758,269.086758,81.61,166,16.6,99.6,-66.4,660,660,1,1,1,OCGT,Pink,,,,,166,0.1,660,660
Vales Point B Power Station,N_2966,2,1,755.5555556,4145.205479,16580.82192,16580.82192,17.12,680,258.4,408,-272,612,612,8,8,1,BlCT,Grey,,,,,680,0.38,476,476
Ararat - Challicum Hills WF,N_3923,2,1,163.3333333,721.5753425,0,0,0,147,14.7,88.2,-58.8,294,294,1,1,2,WND,Green,,,,,147,0.1,294,294
Bald Hills-Toora-Wonthaggi WF,N_3986,3,1,51.48148148,227.435312,0,0,0,46.33333333,4.633333333,27.8,-18.53333333,139,139,1,1,2,WND,Green,,,,,46.33333333,0.1,139,139
Eildon PS,N_3921,2,1,75,436.9006849,873.8013699,873.8013699,16,67.5,13.5,40.5,-27,900,900,1,1,1,HYDR,Blue,,,,,67.5,0.2,900,900
Jeeralang PS,N_3918,7,1,88.88888889,129.6803653,129.6803653,129.6803653,88.74,80,8,48,-32,462.8571429,462.8571429,1,1,1,OCGT,Pink,,,,,80,0.1,462.8571429,462.8571429
Kiewa Hydro Scheme & Dartmouth PS,N_3922,13,1,49.74358974,289.7734457,579.5468915,579.5468915,16,44.76923077,8.953846154,26.86153846,-17.90769231,3600,3600,1,1,1,HYDR,Blue,,,,,44.76923077,0.2,3600,3600
Laverton North PS,N_3915,2,1,191.1111111,278.8127854,278.8127854,278.8127854,70.79,172,17.2,103.2,-68.8,3330,680,1,1,1,OCGT,Pink,,,,,172,0.1,3330,680
Loy Yang A PS,N_3980,4,1,637.5,9280.864726,37123.4589,37123.4589,2.08,573.75,355.725,344.25,-229.5,516.375,516.375,16,16,1,BrCT,Brown,,,,,573.75,0.62,330,320
Loy Yang B PS,N_3981,2,1,666.6666667,7671.232877,30684.93151,30684.93151,5.7,600,366,360,-240,540,540,16,16,1,BrCT,Brown,,,,,600,0.61,540,540
Macarthur-Mortons-Oaklands WF,N_3912,3,1,187.7777778,829.56621,0,0,0,169,16.9,101.4,-67.6,595,590,1,1,2,WND,Green,,,,,169,0.1,595,590
Mortlake PS,N_3903,2,1,324.4444444,473.3333333,473.3333333,473.3333333,74.61,292,29.2,175.2,-116.8,780,780,1,1,1,OCGT,Pink,,,,,292,0.1,780,780
Newport PS,N_3985,1,1,566.6666667,2538.356164,7615.068493,7615.068493,57.96,510,51,306,-204,420,420,1,1,1,Sub Critical,White,,,,,510,0.1,420,420
Portland-Codrington-Yambuk WF,N_3914,3,1,72.59259259,320.7001522,0,0,0,65.33333333,6.533333333,39.2,-26.13333333,196,196,1,1,2,WND,Green,,,,,65.33333333,0.1,196,196
Somerton PS,N_3902,4,1,47.22222222,68.89269406,68.89269406,68.89269406,89.37,42.5,4.25,25.5,-17,600,600,1,1,1,OCGT,Pink,,,,,42.5,0.1,600,600
Valley PS,N_3982,6,1,66.66666667,97.26027397,97.26027397,97.26027397,85.53,60,6,36,-24,3600,600,1,1,1,OCGT,Pink,,,,,60,0.1,3600,600
Waubra-Mt Mercer WF,N_3906,2,1,179.4444444,792.7511416,0,0,0,161.5,16.15,96.9,-64.6,630,620,1,1,2,WND,Green,,,,,161.5,0.1,630,620
Yallourn W PS,N_3929,4,1,444.4444444,6721.461187,26885.84475,26885.84475,2.41,400,240,240,-160,360,360,16,16,1,BrCT,Brown,,,,,400,0.6,260,260
Dry Creek PS,N_5906,3,1,63.33333333,92.39726027,92.39726027,92.39726027,117.91,57,5.7,34.2,-22.8,300,300,1,1,1,OCGT,Pink,,,,,57,0.1,300,300
Hallett PS,N_5945,12,1,20.37037037,29.71841705,29.71841705,29.71841705,125.62,18.33333333,5.5,11,-7.333333333,600,600,1,1,1,CCGT,Purple,,,,,18.33333333,0.3,600,600
Hallett-Bluff WF,N_5951,3,1,81.11111111,358.3333333,0,0,0,73,7.3,43.8,-29.2,150,150,1,1,2,WND,Green,,,,,73,0.1,150,150
Hornsdale-North Brown Hill WF,N_5952,2,1,130,574.3150685,0,0,0,117,11.7,70.2,-46.8,180,180,1,1,2,WND,Green,,,,,117,0.1,180,180
Ladbroke Grove PS,N_5902,2,1,55.55555556,81.05022831,81.05022831,81.05022831,74.64,50,5,30,-20,480,480,1,1,1,OCGT,Pink,,,,,50,0.1,480,480
Lake Bonney-Canunda WF,N_5970,4,1,90.27777778,398.8299087,0,0,0,81.25,8.125,48.75,-32.5,840,480,1,1,2,WND,Green,,,,,81.25,0.1,840,480
Mintaro PS,N_5918,1,1,116.6666667,170.2054795,170.2054795,170.2054795,108.45,105,10.5,63,-42,300,300,1,1,1,OCGT,Pink,,,,,105,0.1,300,300
Osborne PS,N_5914,2,1,226.6666667,232.8767123,698.630137,698.630137,57.5,204,61.2,122.4,-81.6,160,160,4,4,1,CCGT,Purple,,,,,204,0.3,160,160
Pelican Point PS,N_5911,3,1,188.8888889,194.0639269,582.1917808,582.1917808,48.57,170,51,102,-68,600,600,4,4,1,CCGT,Purple,,,,,170,0.3,600,600
Quarantine PS,N_5912,5,1,50.66666667,73.91780822,73.91780822,73.91780822,85.17,45.6,4.56,27.36,-18.24,600,600,1,1,1,OCGT,Pink,,,,,45.6,0.1,600,600
Snowtown-Clements Gap WF,N_5953,4,1,118.3333333,522.7739726,0,0,0,106.5,10.65,63.9,-42.6,610,610,1,1,2,WND,Green,,,,,106.5,0.1,610,610
Snuggery PS,N_5901,3,1,25.55555556,37.28310502,37.28310502,37.28310502,412.25,23,2.3,13.8,-9.2,180,180,1,1,1,OCGT,Pink,,,,,23,0.1,180,180
Torrens Island PS,N_5913,8,1,183.3333333,800.5136986,3202.054795,3202.054795,79.085,165,16.5,99,-66,370,300,1,1,1,Sub Critical,White,,,,,165,0.1,370,300
,,,,,,,,END OF DATA,,,,,,,,,,,,,,,,,,,
